3D Animation and Visualization,Vehicle Technology,Assistive Technology,Chemistry and Biotechnology,Laboratory Tests,Digital Design,Electronics and Circuit Design,Environmental Technology,Emergency Medical Care,Physical Therapy,Performing Arts,Gerontology,Information Technology,International Business,Construction and Architecture,Creative Work,Lab Work,Patient Care,Social Services,Technology and Engineering,Hands-on Learning,Teamwork,Internships,Distance Learning,Artistic Creativity and Technology,RecommendedStudyPath
2,1,1,2,1,2,1,2,2,4,4,1,2,1,1,5,1,2,2,2,1,5,1,2,3,Musiikkipedagogi ja muusikko
2,1,1,1,1,2,5,2,1,5,1,2,5,1,2,1,1,5,1,1,5,2,1,1,1,Optometristi
1,2,1,1,1,2,1,1,1,4,2,2,2,2,1,1,1,5,1,2,4,1,2,4,2,Optometristi
1,2,2,1,2,2,2,1,2,4,2,5,2,1,2,2,4,5,5,1,4,2,1,1,2,Optometristi
2,1,1,2,1,1,2,2,1,5,2,1,1,1,1,4,1,5,1,1,4,2,2,2,3,Optometristi
2,2,2,2,2,2,1,1,1,5,1,1,5,2,4,1,1,4,2,1,5,1,2,1,1,Optometristi
1,1,1,1,1,2,2,1,2,4,1,1,1,1,1,5,1,5,2,2,5,1,2,2,1,Optometristi
2,1,1,1,1,2,2,2,2,5,1,1,4,2,2,2,1,4,1,1,4,1,1,2,5,Optometristi
2,1,1,1,1,2,1,2,1,5,1,2,5,1,1,2,1,5,1,2,4,1,1,1,1,Optometristi
2,1,2,2,2,2,2,2,2,4,1,1,1,5,1,2,1,5,2,4,5,1,1,2,1,Optometristi
1,1,2,2,2,1,2,1,1,5,3,1,1,1,1,1,2,5,1,2,5,2,1,2,1,Optometristi
1,2,4,2,2,2,2,1,3,4,1,1,2,1,2,5,2,5,4,1,5,5,3,3,2,Osteopaatti
1,2,3,1,1,2,2,1,1,4,2,2,2,2,2,2,1,4,4,2,4,5,1,2,1,Osteopaatti
2,1,3,2,2,1,2,2,1,5,1,2,2,2,2,1,1,4,4,2,4,2,1,1,1,Osteopaatti
2,1,2,1,1,2,2,2,2,5,5,2,2,1,1,2,1,5,5,1,4,1,2,1,1,Osteopaatti
2,2,3,2,1,1,1,1,1,3,1,1,2,3,2,1,1,5,5,2,5,2,1,5,2,Osteopaatti
1,1,3,2,1,2,2,2,2,5,5,2,2,1,1,4,1,5,4,2,5,2,3,1,3,Osteopaatti
2,1,3,2,2,2,2,1,1,5,4,4,2,5,2,1,2,5,5,1,4,1,3,1,1,Osteopaatti
2,2,3,1,2,2,2,2,1,5,1,2,2,2,2,1,1,5,4,2,4,2,2,2,1,Osteopaatti
1,1,2,2,3,1,2,2,2,3,1,2,2,1,1,1,1,4,5,4,4,2,2,2,2,Osteopaatti
2,1,2,2,2,1,1,2,2,4,2,1,2,5,2,1,2,4,5,1,5,2,2,1,3,Osteopaatti
1,2,2,1,1,5,1,5,1,2,2,2,1,2,5,2,1,1,2,3,4,5,4,1,2,Rakennusalan tietotekniikka
1,3,1,1,5,4,2,2,5,3,2,2,1,1,5,1,2,2,2,5,1,1,4,2,1,Rakennusalan tietotekniikka
2,1,1,2,2,4,3,1,1,2,2,1,1,2,5,1,1,2,1,5,1,1,1,1,2,Rakennusalan tietotekniikka
1,2,2,2,2,5,2,1,2,2,2,1,1,2,5,2,2,1,2,4,1,2,3,1,1,Rakennusalan tietotekniikka
1,2,2,2,1,4,2,2,2,1,2,1,2,2,4,1,2,2,2,5,2,2,1,4,1,Rakennusalan tietotekniikka
1,1,1,2,1,4,1,2,1,1,2,1,1,1,4,2,1,2,1,5,2,1,2,1,1,Rakennusalan tietotekniikka
2,1,1,2,2,4,2,1,2,2,1,1,2,2,5,1,2,1,1,5,1,2,1,1,1,Rakennusalan tietotekniikka
1,2,2,2,2,4,2,1,1,3,1,1,2,1,5,2,1,1,2,4,1,2,2,2,1,Rakennusalan tietotekniikka
2,2,1,2,5,5,2,1,1,2,2,2,1,2,4,2,4,1,2,4,2,2,2,2,1,Rakennusalan tietotekniikka
3,2,1,3,2,4,3,2,2,2,4,2,1,2,4,2,1,2,5,5,2,2,1,1,2,Rakennusalan tietotekniikka
1,1,2,2,2,3,3,2,1,2,1,4,1,3,5,5,1,1,1,4,1,2,2,1,1,Rakennusarkkitehti
1,2,2,1,2,3,1,1,2,1,1,2,1,1,4,4,4,1,2,5,2,2,2,2,1,Rakennusarkkitehti
2,2,2,3,1,3,1,2,2,1,2,1,2,2,4,4,2,2,2,5,2,1,1,1,1,Rakennusarkkitehti
2,2,2,1,2,3,2,2,2,2,3,2,1,1,4,4,1,1,1,4,2,1,2,1,2,Rakennusarkkitehti
1,2,1,2,1,4,2,2,1,1,2,2,2,1,5,5,2,2,2,4,2,1,1,1,2,Rakennusarkkitehti
2,1,1,2,1,3,1,2,1,2,2,3,1,1,4,5,1,1,1,4,2,3,2,1,2,Rakennusarkkitehti
2,1,1,1,1,3,2,1,1,1,2,2,2,1,4,5,1,1,3,5,1,2,2,1,2,Rakennusarkkitehti
2,2,2,2,2,3,2,2,2,1,2,2,1,3,4,5,1,2,4,5,1,4,1,1,3,Rakennusarkkitehti
2,1,1,2,2,3,2,3,2,2,2,1,2,1,5,4,1,2,1,5,2,2,1,1,2,Rakennusarkkitehti
3,1,1,1,1,2,2,1,2,2,1,1,1,1,3,4,2,2,1,4,1,1,2,1,2,Rakennusarkkitehti
2,2,1,2,1,2,1,5,2,1,2,2,1,1,2,4,2,1,2,4,3,1,2,2,2,Rakennusmestari (LVI-tekniikka)
1,2,2,1,2,1,1,2,1,1,2,2,3,1,1,2,1,2,2,5,4,1,1,2,1,Rakennusmestari (LVI-tekniikka)
1,2,1,5,1,2,1,2,1,2,2,2,1,1,2,2,1,1,3,5,4,2,2,1,1,Rakennusmestari (LVI-tekniikka)
1,2,2,1,2,1,2,3,2,1,4,2,2,1,3,1,1,1,2,5,4,2,1,2,2,Rakennusmestari (LVI-tekniikka)
1,1,1,2,2,1,1,2,2,2,2,2,2,1,2,1,2,1,1,5,4,1,1,1,1,Rakennusmestari (LVI-tekniikka)
2,2,2,1,1,1,2,2,1,2,1,2,2,1,1,4,1,1,1,5,4,1,1,1,1,Rakennusmestari (LVI-tekniikka)
4,1,1,2,1,2,3,2,2,3,2,2,2,2,2,2,2,2,1,4,5,2,2,2,5,Rakennusmestari (LVI-tekniikka)
2,1,2,1,1,2,2,2,2,1,1,1,2,2,3,1,1,2,4,4,3,2,1,4,1,Rakennusmestari (LVI-tekniikka)
2,2,1,1,1,1,2,2,1,1,1,1,1,2,2,1,1,4,1,3,4,1,2,4,2,Rakennusmestari (LVI-tekniikka)
1,1,1,1,2,2,2,3,2,2,2,1,1,1,1,1,1,1,2,4,5,1,1,2,1,Rakennusmestari (LVI-tekniikka)
2,2,1,1,2,2,2,2,1,2,1,1,1,1,4,2,1,1,1,4,5,5,2,2,2,Rakennusmestari (talonrakennustekniikka ja infrarakentaminen)
2,1,2,1,2,2,1,1,2,2,2,2,1,1,4,1,2,4,1,5,4,4,2,1,2,Rakennusmestari (talonrakennustekniikka ja infrarakentaminen)
1,2,2,1,1,1,2,2,2,2,2,2,5,2,4,2,2,1,5,5,5,2,1,1,1,Rakennusmestari (talonrakennustekniikka ja infrarakentaminen)
4,2,1,1,2,2,2,2,2,1,2,2,1,1,4,1,2,2,2,5,5,2,2,2,1,Rakennusmestari (talonrakennustekniikka ja infrarakentaminen)
3,2,1,2,2,1,1,1,2,2,1,1,1,2,5,2,2,2,1,5,4,5,1,2,1,Rakennusmestari (talonrakennustekniikka ja infrarakentaminen)
1,1,1,2,1,2,1,1,1,1,1,2,2,1,5,5,2,1,5,5,4,1,3,4,1,Rakennusmestari (talonrakennustekniikka ja infrarakentaminen)
2,1,2,2,2,2,1,2,2,2,4,1,1,2,4,2,1,2,1,5,4,2,2,1,1,Rakennusmestari (talonrakennustekniikka ja infrarakentaminen)
1,2,2,1,2,2,1,2,2,1,2,1,3,1,5,2,1,1,2,5,4,2,1,1,4,Rakennusmestari (talonrakennustekniikka ja infrarakentaminen)
2,2,2,1,1,1,3,2,1,1,2,3,5,1,5,1,5,4,2,4,4,2,2,2,2,Rakennusmestari (talonrakennustekniikka ja infrarakentaminen)
2,1,2,2,2,1,2,2,2,2,1,1,1,5,4,2,2,2,1,4,4,1,2,1,1,Rakennusmestari (talonrakennustekniikka ja infrarakentaminen)
5,5,2,2,2,1,2,2,2,1,2,2,2,4,4,2,2,1,2,4,4,1,2,2,1,Rakennusmestari (talonrakennustekniikka)
2,1,1,1,2,3,2,1,1,2,2,1,2,1,4,2,2,1,2,4,4,3,1,2,1,Rakennusmestari (talonrakennustekniikka)
1,2,2,2,2,1,1,1,2,2,1,2,2,2,4,1,5,4,1,4,4,2,5,1,2,Rakennusmestari (talonrakennustekniikka)
2,1,1,2,2,2,1,2,1,1,3,1,1,2,4,2,2,2,2,5,5,2,1,2,1,Rakennusmestari (talonrakennustekniikka)
1,2,2,2,2,1,2,1,1,2,1,3,2,4,5,1,4,1,1,4,5,1,2,2,1,Rakennusmestari (talonrakennustekniikka)
3,2,2,1,3,2,2,1,1,2,1,1,2,2,4,1,2,2,2,5,4,4,1,2,1,Rakennusmestari (talonrakennustekniikka)
3,2,1,2,1,2,1,5,1,2,1,2,3,2,4,2,2,2,2,5,5,1,2,1,2,Rakennusmestari (talonrakennustekniikka)
1,2,1,2,1,2,1,2,1,1,2,2,2,1,5,2,2,2,2,5,4,2,1,2,1,Rakennusmestari (talonrakennustekniikka)
2,1,1,2,1,2,1,2,2,1,2,5,1,2,5,2,5,1,2,3,4,1,5,2,1,Rakennusmestari (talonrakennustekniikka)
1,2,1,1,1,2,1,2,5,2,2,2,5,1,5,2,2,1,1,4,4,1,2,2,1,Rakennusmestari (talonrakennustekniikka)
1,1,2,2,1,1,1,2,1,1,1,2,4,2,5,2,2,1,1,5,2,3,2,2,1,Rakennustekniikka (infrarakentaminen)
1,1,2,2,2,2,2,3,2,2,5,1,2,1,4,2,1,1,2,5,1,2,5,2,1,Rakennustekniikka (infrarakentaminen)
2,4,1,3,2,1,2,2,1,2,2,2,2,2,4,1,3,4,1,4,1,1,2,1,1,Rakennustekniikka (infrarakentaminen)
1,1,1,1,2,1,1,2,1,2,1,1,2,1,5,1,2,2,1,3,4,2,1,5,1,Rakennustekniikka (infrarakentaminen)
1,2,2,1,1,1,1,3,2,2,1,2,2,2,4,1,4,2,3,4,2,1,1,2,2,Rakennustekniikka (infrarakentaminen)
2,1,1,2,2,2,1,2,1,1,2,2,1,2,4,2,2,2,2,4,1,1,1,2,2,Rakennustekniikka (infrarakentaminen)
2,1,1,2,2,1,3,1,2,2,2,3,2,2,4,5,1,3,1,5,4,1,2,1,2,Rakennustekniikka (infrarakentaminen)
2,2,1,1,1,1,5,3,2,1,1,2,2,3,5,1,1,1,2,4,2,2,1,2,2,Rakennustekniikka (infrarakentaminen)
2,1,1,2,1,2,2,4,1,2,2,2,1,5,5,2,1,1,2,5,2,1,1,1,2,Rakennustekniikka (infrarakentaminen)
2,2,1,2,2,2,1,2,1,1,2,2,4,2,4,1,1,2,1,4,2,1,1,1,1,Rakennustekniikka (infrarakentaminen)
5,1,1,1,1,1,1,2,1,2,1,1,2,2,4,2,3,1,2,4,2,4,2,1,1,Rakennustekniikka (rakentamisen projektinhallinta)
1,2,1,1,2,1,3,2,2,4,1,1,2,2,5,1,1,1,2,5,2,3,1,1,1,Rakennustekniikka (rakentamisen projektinhallinta)
1,2,1,1,1,1,1,1,2,2,2,1,1,2,5,1,1,1,1,5,2,5,4,2,2,Rakennustekniikka (rakentamisen projektinhallinta)
2,1,1,2,1,1,2,2,2,4,1,1,2,1,5,1,2,1,1,5,2,5,1,1,2,Rakennustekniikka (rakentamisen projektinhallinta)
1,1,1,1,2,1,2,1,2,1,1,2,1,2,4,4,3,2,2,5,1,5,2,5,5,Rakennustekniikka (rakentamisen projektinhallinta)
3,3,1,1,1,1,2,1,1,2,1,5,1,1,5,1,2,4,1,4,2,5,1,5,2,Rakennustekniikka (rakentamisen projektinhallinta)
2,2,1,2,2,2,2,1,2,2,1,1,1,2,5,2,2,2,2,4,2,5,1,2,1,Rakennustekniikka (rakentamisen projektinhallinta)
1,2,1,2,1,1,2,2,2,1,1,1,4,2,4,4,1,1,2,5,1,5,2,1,1,Rakennustekniikka (rakentamisen projektinhallinta)
2,2,1,2,2,4,2,1,1,1,2,1,1,2,5,2,1,1,1,4,4,5,1,1,2,Rakennustekniikka (rakentamisen projektinhallinta)
3,1,1,2,1,1,1,1,2,2,1,1,2,2,5,1,2,2,2,5,1,5,1,1,1,Rakennustekniikka (rakentamisen projektinhallinta)
2,2,2,1,5,1,1,2,1,2,1,1,1,2,1,2,1,5,2,5,1,1,1,5,2,Röntgenhoitaja
3,3,2,2,4,1,1,2,1,1,2,2,2,1,2,1,1,4,1,5,2,2,2,1,1,Röntgenhoitaja
2,2,3,1,5,2,1,2,2,1,2,3,1,2,1,1,1,4,1,5,1,4,2,1,2,Röntgenhoitaja
2,1,2,2,4,2,1,2,2,1,2,1,1,2,1,2,2,5,1,4,1,1,1,1,2,Röntgenhoitaja
1,3,3,3,4,2,1,2,2,1,1,1,2,1,1,2,2,4,1,4,4,2,2,1,3,Röntgenhoitaja
2,1,2,1,5,2,2,1,2,4,2,2,2,2,3,1,1,4,1,4,1,2,2,3,2,Röntgenhoitaja
2,2,2,1,4,2,2,1,2,1,2,2,3,5,1,2,1,5,1,4,2,2,1,2,1,Röntgenhoitaja
2,1,3,5,5,2,1,1,2,1,1,2,1,1,1,1,1,4,2,5,2,2,5,4,2,Röntgenhoitaja
2,2,5,2,5,1,2,2,2,2,1,2,1,4,1,2,1,5,1,4,1,2,1,1,2,Röntgenhoitaja
1,1,4,1,4,3,2,2,1,2,2,2,4,1,1,2,2,5,2,4,2,2,2,1,2,Röntgenhoitaja
2,1,1,2,2,1,1,2,4,5,2,1,2,1,1,1,1,4,2,3,1,2,5,1,1,Sairaanhoitaja
2,1,1,1,2,1,2,1,5,3,2,1,3,1,2,1,1,4,1,5,1,4,2,2,1,Sairaanhoitaja
1,2,1,1,4,1,1,2,5,4,2,1,1,1,1,3,2,4,2,3,2,1,1,2,1,Sairaanhoitaja
1,1,2,1,2,2,1,2,5,3,4,2,1,2,1,1,2,4,2,2,2,1,2,5,1,Sairaanhoitaja
2,1,1,1,1,2,2,1,4,4,1,2,2,2,2,1,2,4,1,2,1,2,2,1,1,Sairaanhoitaja
1,1,2,1,2,1,2,2,4,4,2,1,1,2,1,2,1,4,2,2,2,3,2,1,5,Sairaanhoitaja
2,3,2,1,1,1,2,1,5,5,2,2,1,2,1,2,2,5,2,2,2,3,2,1,2,Sairaanhoitaja
2,2,1,2,2,1,1,2,4,4,3,1,1,2,1,2,2,5,1,2,2,4,1,1,1,Sairaanhoitaja
2,2,2,1,1,1,2,2,4,5,1,2,1,1,1,1,2,4,1,1,4,1,2,2,1,Sairaanhoitaja
4,2,2,2,1,3,2,1,4,5,2,1,4,1,2,4,2,4,1,1,2,2,1,1,2,Sairaanhoitaja
1,2,2,1,2,2,2,1,2,1,1,2,1,2,5,5,2,2,1,1,3,2,2,2,5,Sisustusarkkitehtuuri
2,1,2,1,2,2,2,2,1,1,5,1,2,2,4,4,5,2,2,1,5,1,1,1,4,Sisustusarkkitehtuuri
3,1,3,1,2,2,1,1,1,2,1,1,2,5,4,5,2,2,2,2,2,2,1,1,4,Sisustusarkkitehtuuri
1,1,1,1,1,2,2,2,3,2,1,1,1,3,5,4,4,1,1,2,4,2,2,2,4,Sisustusarkkitehtuuri
1,2,1,2,2,2,2,2,1,1,1,1,1,4,4,5,5,1,1,3,2,2,2,4,4,Sisustusarkkitehtuuri
3,1,1,1,1,5,1,1,1,3,1,1,2,4,3,4,3,1,1,1,1,1,1,3,4,Sisustusarkkitehtuuri
2,3,1,2,1,1,1,2,1,1,2,2,1,1,5,4,2,2,1,1,2,1,5,3,4,Sisustusarkkitehtuuri
2,2,1,2,2,2,2,1,2,4,4,2,2,2,4,5,1,1,2,3,2,2,2,2,5,Sisustusarkkitehtuuri
2,1,2,2,1,1,1,2,2,1,2,2,2,2,5,4,2,1,1,2,1,5,2,2,5,Sisustusarkkitehtuuri
1,1,2,2,2,1,2,2,2,2,2,1,2,2,5,4,2,2,1,1,1,1,2,1,5,Sisustusarkkitehtuuri
2,2,1,1,2,2,2,1,2,3,1,1,1,1,1,2,5,5,5,1,2,5,1,3,1,Sosiaaliala
2,1,1,2,2,2,1,2,1,5,2,1,1,1,1,1,1,5,5,4,1,5,2,1,1,Sosiaaliala
2,1,2,1,2,2,1,1,1,2,2,4,2,1,2,1,2,5,4,1,2,4,5,2,2,Sosiaaliala
1,1,1,1,2,1,2,1,1,2,1,1,1,1,2,5,2,5,4,2,1,4,2,1,1,Sosiaaliala
2,1,1,1,1,2,4,1,2,5,1,1,2,4,1,1,2,4,5,2,1,4,2,3,5,Sosiaaliala
1,1,1,1,1,1,2,2,2,2,2,2,1,2,2,2,1,4,4,1,2,4,1,4,2,Sosiaaliala
4,2,1,1,1,1,2,2,1,1,5,1,1,4,1,2,1,4,5,1,2,4,2,1,1,Sosiaaliala
4,1,2,2,2,2,2,1,1,1,1,1,2,1,1,3,1,5,5,2,2,4,2,1,2,Sosiaaliala
3,2,2,1,2,1,1,3,2,1,2,2,2,1,1,1,2,5,4,1,1,4,2,2,1,Sosiaaliala
2,1,1,1,2,1,1,2,2,5,2,1,2,2,1,1,1,4,4,2,3,5,3,1,2,Sosiaaliala
2,2,1,1,2,2,2,1,5,1,1,1,2,1,1,4,3,5,4,1,2,2,2,2,1,Sosionomi (varhaiskasvatus)
1,2,1,1,1,1,2,2,1,1,1,1,1,2,2,4,5,4,4,2,1,2,2,2,4,Sosionomi (varhaiskasvatus)
1,2,2,2,2,3,2,1,1,3,2,2,2,1,4,5,1,4,5,1,3,1,2,2,2,Sosionomi (varhaiskasvatus)
1,2,1,2,1,2,2,1,1,2,2,1,1,1,2,5,4,4,5,2,1,2,2,2,2,Sosionomi (varhaiskasvatus)
1,2,2,1,2,1,1,1,1,1,2,2,1,2,1,4,2,5,4,1,5,1,1,2,1,Sosionomi (varhaiskasvatus)
4,1,2,1,2,1,2,1,2,5,1,2,2,1,2,5,1,5,4,2,2,2,2,2,1,Sosionomi (varhaiskasvatus)
2,2,2,1,2,2,2,1,1,2,5,2,2,2,5,4,1,5,4,1,2,1,2,5,2,Sosionomi (varhaiskasvatus)
2,2,1,2,1,1,1,2,2,1,1,1,2,2,1,5,2,4,4,2,2,1,1,2,2,Sosionomi (varhaiskasvatus)
1,2,1,2,2,2,1,1,1,2,2,2,2,5,1,5,5,3,5,2,2,2,2,4,2,Sosionomi (varhaiskasvatus)
1,1,1,2,1,1,1,1,2,1,2,2,1,1,2,4,2,4,4,2,2,1,2,2,1,Sosionomi (varhaiskasvatus)
2,1,2,2,1,2,1,2,1,1,2,1,2,1,1,4,2,2,4,2,1,5,2,1,1,Sosionomi (sosiaaliohjaus)
3,1,2,1,2,2,1,1,2,1,1,3,2,2,2,5,1,1,5,1,1,5,2,1,1,Sosionomi (sosiaaliohjaus)
1,1,1,2,2,3,1,2,1,1,1,1,2,2,1,4,1,1,4,5,2,4,1,2,2,Sosionomi (sosiaaliohjaus)
1,2,1,2,2,1,1,1,3,1,1,1,1,1,2,4,1,2,5,1,2,5,1,1,1,Sosionomi (sosiaaliohjaus)
2,2,1,1,2,1,2,2,2,1,2,1,1,2,2,5,2,2,5,1,4,5,2,3,2,Sosionomi (sosiaaliohjaus)
2,1,1,2,2,2,1,1,1,5,2,2,1,2,4,4,1,1,5,2,1,5,2,2,2,Sosionomi (sosiaaliohjaus)
1,2,2,2,1,5,1,1,5,1,2,3,2,2,1,5,2,1,5,1,1,4,2,1,2,Sosionomi (sosiaaliohjaus)
2,2,1,2,2,2,2,4,2,1,1,2,1,2,2,5,2,1,4,2,1,4,1,4,2,Sosionomi (sosiaaliohjaus)
1,1,1,1,1,2,1,1,2,2,1,2,3,4,1,5,1,1,5,1,2,5,2,2,1,Sosionomi (sosiaaliohjaus)
2,2,2,1,2,2,3,1,1,2,1,1,1,1,2,5,1,1,4,2,2,4,2,2,2,Sosionomi (sosiaaliohjaus)
1,1,4,1,1,1,1,2,1,4,2,2,1,1,4,2,2,5,1,1,4,4,2,1,2,Suuhygienisti
2,2,3,1,2,2,2,2,2,3,2,1,1,3,2,2,2,4,2,1,5,2,1,1,2,Suuhygienisti
1,1,3,1,1,1,1,2,1,4,1,2,1,1,4,1,1,4,2,2,4,1,2,2,1,Suuhygienisti
2,1,3,2,1,1,2,2,2,4,2,1,1,2,3,1,1,5,1,2,4,1,2,4,1,Suuhygienisti
2,2,4,2,1,1,2,2,2,5,2,1,1,1,1,2,1,5,1,2,5,1,1,1,2,Suuhygienisti
2,2,3,2,2,1,1,1,1,4,4,2,2,1,2,2,2,4,2,2,3,2,1,3,2,Suuhygienisti
1,2,3,2,1,1,2,4,2,4,2,1,2,1,2,1,2,4,1,2,5,1,1,1,1,Suuhygienisti
1,1,3,1,2,1,2,2,1,4,1,1,5,4,2,2,2,4,1,2,3,2,3,1,2,Suuhygienisti
1,1,4,1,1,1,2,1,2,4,1,5,2,2,2,2,2,5,1,4,5,2,2,1,1,Suuhygienisti
2,2,3,2,2,2,2,2,2,5,2,1,2,2,1,1,1,5,1,1,4,1,1,1,2,Suuhygienisti
4,1,1,2,1,5,5,1,1,2,1,2,1,2,5,2,1,1,3,5,4,1,2,3,2,Sähkö- ja automaatiotekniikka
2,1,1,2,1,1,5,1,1,2,1,2,2,2,1,2,1,1,2,5,5,2,1,1,2,Sähkö- ja automaatiotekniikka
2,1,2,1,4,1,5,2,2,1,2,2,1,2,2,1,2,1,1,4,4,1,1,1,1,Sähkö- ja automaatiotekniikka
2,1,2,2,2,2,5,2,1,1,2,1,2,2,1,1,1,1,3,4,5,1,2,4,2,Sähkö- ja automaatiotekniikka
1,1,2,2,2,1,5,3,2,2,1,1,1,2,1,1,2,2,1,4,5,3,2,2,2,Sähkö- ja automaatiotekniikka
3,2,1,1,2,2,4,2,3,5,1,2,1,2,2,2,1,1,1,4,3,1,1,1,2,Sähkö- ja automaatiotekniikka
1,2,1,3,1,2,4,1,1,4,2,2,2,1,3,2,2,2,3,4,4,2,2,1,2,Sähkö- ja automaatiotekniikka
2,1,1,2,2,5,5,1,2,1,2,2,1,3,2,1,1,1,1,4,4,2,2,4,2,Sähkö- ja automaatiotekniikka
1,1,1,5,2,2,5,2,1,1,1,2,2,5,2,5,1,1,1,4,4,2,1,1,2,Sähkö- ja automaatiotekniikka
2,2,2,1,2,2,4,2,1,1,2,1,3,5,3,1,5,3,1,4,5,2,2,2,2,Sähkö- ja automaatiotekniikka
2,2,3,1,1,2,1,2,4,2,2,1,1,1,1,2,2,1,2,5,5,5,1,3,1,Talotekniikka
2,1,2,2,1,1,2,3,1,2,1,1,1,2,1,1,1,2,2,5,4,3,1,2,1,Talotekniikka
5,1,2,2,1,2,2,2,2,2,2,1,1,2,1,2,1,2,2,5,4,1,2,5,2,Talotekniikka
1,1,2,2,2,1,1,3,2,1,2,2,1,2,1,2,1,1,1,5,5,1,4,1,2,Talotekniikka
2,2,2,2,1,1,2,2,1,2,2,2,2,2,2,1,2,1,1,5,5,2,2,2,2,Talotekniikka
1,1,2,2,2,1,2,2,1,1,2,1,2,2,2,2,1,2,1,5,4,1,1,2,2,Talotekniikka
1,1,1,1,2,1,1,4,2,1,1,1,1,1,2,2,3,2,4,4,4,1,1,1,2,Talotekniikka
1,2,2,2,1,1,2,2,2,2,2,2,1,1,1,1,2,1,2,4,5,2,1,1,1,Talotekniikka
2,2,1,2,1,2,1,2,1,2,1,2,1,1,1,2,2,1,1,4,4,1,4,1,4,Talotekniikka
1,3,2,1,2,1,2,3,2,1,3,2,1,2,1,2,1,1,1,4,4,2,4,1,1,Talotekniikka
1,2,2,2,1,2,1,1,2,4,2,2,1,2,2,2,1,1,2,5,2,5,2,2,1,Talotekniikka (LVI-tekniikka ja kiinteistöjohtaminen)
3,2,2,1,2,1,2,2,1,2,2,2,2,2,1,1,2,1,4,4,1,4,2,1,2,Talotekniikka (LVI-tekniikka ja kiinteistöjohtaminen)
2,1,1,1,1,1,1,2,2,2,2,2,2,1,2,2,1,2,4,5,2,5,1,2,2,Talotekniikka (LVI-tekniikka ja kiinteistöjohtaminen)
3,2,1,1,1,2,2,3,1,1,2,3,1,1,2,2,1,2,1,4,1,5,2,1,2,Talotekniikka (LVI-tekniikka ja kiinteistöjohtaminen)
3,3,2,1,2,1,2,3,2,2,2,2,1,1,1,3,2,1,2,5,1,4,2,2,2,Talotekniikka (LVI-tekniikka ja kiinteistöjohtaminen)
1,1,2,2,1,1,2,3,1,4,2,2,2,1,3,2,1,2,2,5,4,5,2,1,1,Talotekniikka (LVI-tekniikka ja kiinteistöjohtaminen)
2,3,1,1,1,1,1,3,3,2,2,2,1,4,2,1,2,5,1,5,1,5,2,2,1,Talotekniikka (LVI-tekniikka ja kiinteistöjohtaminen)
2,1,2,1,1,2,2,3,2,1,1,1,1,1,2,2,2,2,1,4,2,4,2,4,2,Talotekniikka (LVI-tekniikka ja kiinteistöjohtaminen)
1,2,2,2,2,1,1,2,2,2,1,1,1,1,2,2,2,2,2,4,2,4,1,2,1,Talotekniikka (LVI-tekniikka ja kiinteistöjohtaminen)
3,1,1,2,2,1,2,2,2,4,1,1,2,1,2,1,1,2,2,5,2,4,2,1,2,Talotekniikka (LVI-tekniikka ja kiinteistöjohtaminen)
2,1,2,1,2,1,1,1,2,5,2,2,2,2,2,5,2,1,2,1,5,2,2,1,4,Tekstiilisuunnittelu
2,2,1,2,2,2,2,2,2,1,1,1,1,2,2,4,2,2,4,1,4,1,2,1,4,Tekstiilisuunnittelu
1,2,1,2,2,1,2,1,1,1,1,4,2,2,1,4,1,2,2,1,5,3,2,1,3,Tekstiilisuunnittelu
1,1,1,1,2,1,2,2,2,2,1,2,1,2,2,4,2,2,1,1,5,2,2,1,4,Tekstiilisuunnittelu
1,1,1,1,5,1,1,2,2,1,2,2,3,2,1,5,1,2,1,3,5,2,1,5,5,Tekstiilisuunnittelu
1,1,2,3,1,2,1,1,2,1,4,2,1,2,2,4,2,2,2,2,4,1,1,1,5,Tekstiilisuunnittelu
5,2,1,1,2,2,3,2,2,1,2,5,1,1,1,4,2,2,1,1,5,2,1,1,5,Tekstiilisuunnittelu
2,1,1,1,1,2,2,1,5,1,1,2,1,2,2,4,1,2,1,2,4,1,2,2,4,Tekstiilisuunnittelu
2,1,1,1,2,1,1,2,1,1,2,2,5,5,2,4,1,4,2,1,4,1,1,1,4,Tekstiilisuunnittelu
1,2,2,1,1,2,2,1,1,1,3,1,2,1,2,4,3,2,1,2,5,2,2,1,5,Tekstiilisuunnittelu
2,2,1,3,2,5,2,2,1,2,2,1,4,1,2,5,2,1,1,5,2,2,4,5,1,Teollinen muotoilu
2,1,2,1,2,4,2,2,1,3,2,2,1,2,2,5,1,2,1,5,1,2,2,2,2,Teollinen muotoilu
3,1,2,1,1,5,1,2,1,2,3,2,2,2,1,5,3,1,1,5,2,2,1,2,2,Teollinen muotoilu
2,2,2,2,2,4,2,1,3,2,1,2,3,3,2,4,5,4,1,4,1,1,1,1,1,Teollinen muotoilu
2,1,1,2,2,5,2,2,1,2,2,5,2,1,2,5,1,1,1,4,2,1,2,5,1,Teollinen muotoilu
1,2,1,2,1,5,3,1,1,2,2,2,1,2,1,3,1,2,1,5,1,2,1,1,2,Teollinen muotoilu
1,2,1,2,2,5,2,1,1,1,2,2,2,5,2,4,1,2,1,4,2,3,1,1,1,Teollinen muotoilu
2,1,2,1,2,4,2,1,1,1,2,1,5,1,1,4,1,3,1,4,1,1,1,2,1,Teollinen muotoilu
